L,t,U,N_bosons,N_max,GndEigenval,GndEigenvec,FirstExcitedEigenval,Entropy
10,0,1,10,3,1.3884889645663116e-11,<block2.cpx.sany.MultiMPS object at 0x00000255EE790870>,1.0000000000014648,"[ 0.00000000e+00  0.00000000e+00 -4.44089210e-16  0.00000000e+00
  2.22044605e-16  4.91919781e-12  1.80804816e-02  9.10675445e-01
  1.22156541e+00]"
10,0.1,1,10,3,-0.35497538096708126,<block2.cpx.sany.MultiMPS object at 0x00000255EFCC06F0>,0.18925132639380243,"[0.37171819 0.65548696 0.91171097 1.10684949 1.2531595  1.34928075
 1.358729   1.24848981 1.04490072]"
10,0.2,1,10,3,-1.3498456316256313,<block2.cpx.sany.MultiMPS object at 0x00000255EE82D5F0>,-1.0379165352442532,"[0.63114921 0.87887354 1.08841072 1.26842109 1.41606049 1.51656099
 1.54311395 1.47534325 1.30245162]"
10,0.3,1,10,3,-2.7556922734163334,<block2.cpx.sany.MultiMPS object at 0x00000255EFCE15F0>,-2.4931393829519637,"[0.80231012 1.04221371 1.22385599 1.38203118 1.51390369 1.60753056
 1.64518022 1.60977432 1.45966093]"
10,0.4,1,10,3,-4.340917330168592,<block2.cpx.sany.MultiMPS object at 0x00000255B662D5F0>,-4.062940093675858,"[0.88349504 1.1323612  1.30338326 1.45150691 1.57465137 1.66295722
 1.70343434 1.68075184 1.53098838]"
10,0.5,1,10,3,-6.006246881901383,<block2.cpx.sany.MultiMPS object at 0x00000255EE8AEFB0>,-5.695286811605712,"[0.9193072  1.18678735 1.35442459 1.49825194 1.61771953 1.70377248
 1.74530406 1.72658281 1.56211169]"
10,0.6,1,10,3,-7.714702171266268,<block2.cpx.sany.MultiMPS object at 0x00000255EFD16DB0>,-7.365236197477941,"[0.93409094 1.22333016 1.39032947 1.53189749 1.64958075 1.73471309
 1.77699823 1.75916855 1.57477243]"
10,0.7,1,10,3,-9.449433398279194,<block2.cpx.sany.MultiMPS object at 0x00000255B5624BB0>,-9.059496617182068,"[0.93875691 1.24951208 1.41707428 1.55720139 1.67383238 1.75856402
 1.80149719 1.78332863 1.57849687]"
10,0.8,1,10,3,-11.201481247455655,<block2.cpx.sany.MultiMPS object at 0x00000255EF996C30>,-10.770347383282784,"[0.93841305 1.26908002 1.43780579 1.57688394 1.69277972 1.77731815
 1.82081365 1.80172146 1.57776711]"
10,0.9,1,10,3,-12.96558441560818,<block2.cpx.sany.MultiMPS object at 0x00000255EE7BA070>,-12.493003547028568,"[0.93558314 1.28416055 1.45436714 1.59261651 1.7079341  1.79236611
 1.83634515 1.81602287 1.57482024]"
10,1,1,10,3,-14.738432008734474,<block2.cpx.sany.MultiMPS object at 0x00000255B62CCDF0>,-14.224346906146705,"[0.93156683 1.29606617 1.46791477 1.60547625 1.72030558 1.80466961
 1.84906291 1.82734937 1.57081927]"
10,1.1,1,10,3,-16.51783006978523,<block2.cpx.sany.MultiMPS object at 0x00000255B663C070>,-15.962261751794228,"[0.92705216 1.30565341 1.47921163 1.61618467 1.73058497 1.81489934
 1.8596481  1.83646779 1.56638441]"
10,1.2,1,10,3,-18.302264737363057,<block2.cpx.sany.MultiMPS object at 0x00000255B65D34F0>,-17.70526391244044,"[0.92240827 1.3135042  1.48878167 1.62524153 1.73925654 1.82353086
 1.86858595 1.84391692 1.56185023]"
10,1.3,1,10,3,-20.09065661741283,<block2.cpx.sany.MultiMPS object at 0x00000255EFC72AF0>,-19.452282583980487,"[0.91783258 1.32002654 1.4969968  1.63300329 1.74666798 1.83090791
 1.87622848 1.85008277 1.55739604]"
10,1.4,1,10,3,-21.882214870316737,<block2.cpx.sany.MultiMPS object at 0x00000255EE7BB170>,-21.20252641861209,"[0.91342763 1.32551386 1.50412848 1.63973065 1.75307448 1.83728383
 1.88283584 1.85524696 1.55311488]"
10,1.5,1,10,3,-23.676346590737506,<block2.cpx.sany.MultiMPS object at 0x00000255B5658570>,-22.95539831124613,"[0.90924284 1.33018183 1.51037959 1.64561864 1.75866714 1.84284877
 1.88860378 1.85961828 1.54905114]"
10,1.6,1,10,3,-25.47259840799206,<block2.cpx.sany.MultiMPS object at 0x00000255EE7901F0>,-24.71043946465442,"[0.90529756 1.33419202 1.51590494 1.650816   1.76359173 1.84774801
 1.89368205 1.86335399 1.54522169]"
10,1.7,1,10,3,-27.270617654417876,<block2.cpx.sany.MultiMPS object at 0x00000255EFCCC8B0>,-26.46729166767543,"[0.90159426 1.33766748 1.52082487 1.65543824 1.76796133 1.85209426
 1.89818706 1.86657421 1.54162791]"
10,1.8,1,10,3,-29.07012584013376,<block2.cpx.sany.MultiMPS object at 0x00000255B6627270>,-28.225671243609852,"[0.89812613 1.34070334 1.52523422 1.65957629 1.77186485 1.85597621
 1.9022105  1.86937193 1.53826264]"
10,1.9,1,10,3,-30.87090010429157,<block2.cpx.sany.MultiMPS object at 0x00000255EFD22A70>,-29.985350674383685,"[0.89488154 1.34337413 1.52920897 1.66330288 1.77537321 1.85946463
 1.90582559 1.87181994 1.53511425]"
10,2,1,10,3,-32.6727599736667,<block2.cpx.sany.MultiMPS object at 0x00000255EE8AC730>,-31.746145392187692,"[0.89184657 1.34573894 1.5328106  1.66667674 1.77854364 1.86261658
 1.90909143 1.87397593 1.53216908]"
