L,t,U,N_bosons,N_max,GndEigenval,GndEigenvec,FirstExcitedEigenval,Entropy
10,0.0,1,10,3,1.3884889645663116e-11,<block2.cpx.sany.MultiMPS object at 0x000001DE54BF7870>,1.0000000000014648,"[ 0.00000000e+00  0.00000000e+00 -4.44089210e-16  0.00000000e+00
  2.22044605e-16  4.91919781e-12  1.80804816e-02  9.10675445e-01
  1.22156541e+00]"
10,0.2,1,10,3,-1.1309347602934474,<block2.cpx.sany.MultiMPS object at 0x000001DE7D29B7F0>,-0.6777842455872646,"[0.52143039 0.88209063 1.2439911  1.55565468 1.79203687 1.94001935
 1.98090262 1.89704035 1.75147432]"
10,0.3,1,10,3,-2.1451196917851143,<block2.cpx.sany.MultiMPS object at 0x000001DE7D1DE1F0>,-1.7703865441686804,"[0.65683151 1.01516273 1.39037595 1.70527901 1.94000465 2.08203646
 2.12170238 2.03666614 1.92901279]"
10,0.4,1,10,3,-3.261272667660921,<block2.cpx.sany.MultiMPS object at 0x000001DE54EC2FF0>,-2.932988020300127,"[0.74366585 1.09614186 1.48145443 1.79199672 2.02456738 2.16518128
 2.20731144 2.11851806 2.03756814]"
10,0.5,1,10,3,-4.432249696935773,<block2.cpx.sany.MultiMPS object at 0x000001DE54EC2530>,-4.136249936522427,"[0.80068544 1.14648633 1.54009653 1.84622646 2.07960101 2.22123941
 2.26487992 2.17094086 2.10794824]"
10,0.6,1,10,3,-5.636284476911704,<block2.cpx.sany.MultiMPS object at 0x0000024F50CA3270>,-5.365206198309869,"[2.16455714 2.2163221  2.31989431 2.28155959 2.14457548 1.91776008
 1.62056428 1.24811448 0.83945284]"
10,0.7,1,10,3,-6.8620639113616,<block2.cpx.sany.MultiMPS object at 0x0000024F4FB6FA30>,-6.611586628093274,"[2.19906892 2.2434201  2.35183651 2.31531982 2.17719609 1.94811087
 1.65190882 1.27815349 0.86645513]"
10,0.8,1,10,3,-8.103115706522807,<block2.cpx.sany.MultiMPS object at 0x0000024F17535B70>,-7.870456705324136,"[2.22404256 2.26447756 2.3767991  2.34306766 2.20381472 1.97208014
 1.67594659 1.30043829 0.88549751]"
10,0.9,1,10,3,-9.355446379545024,<block2.cpx.sany.MultiMPS object at 0x0000024F141AEA30>,-9.13867182139877,"[2.24234642 2.28164225 2.39693986 2.36656344 2.22614136 1.99161379
 1.69496265 1.31739173 0.89883373]"
10,0.7,1,10,3,-6.862063911361997,<block2.cpx.sany.MultiMPS object at 0x0000024F1783DDB0>,-6.611586627943477,"[2.19906961 2.2434168  2.35183937 2.31533199 2.17721062 1.94812684
 1.65192599 1.27817024 0.86645867]"
10,0.8,1,10,3,-8.103115706545763,<block2.cpx.sany.MultiMPS object at 0x0000024F4FAF0BF0>,-7.870456702577165,"[2.22404317 2.26447896 2.37680684 2.34308794 2.20384352 1.97211229
 1.67598084 1.30047104 0.88550162]"
10,0.9,1,10,3,-9.355446378478517,<block2.cpx.sany.MultiMPS object at 0x0000024F4FB6D0F0>,-9.138671754377189,"[2.24235974 2.28162633 2.39704497 2.36677962 2.2264446  1.99195381
 1.69530525 1.31770649 0.89884563]"
10,1.0,1,10,3,-10.616439206240582,<block2.cpx.sany.MultiMPS object at 0x0000024F4FBAC330>,-10.414115440543176,"[2.25578799 2.29626242 2.41366342 2.3871568  2.24563572 2.00836122
 1.71080054 1.33096363 0.90796377]"
10,1.1,1,10,3,-11.88429376268479,<block2.cpx.sany.MultiMPS object at 0x0000024F17182330>,-11.695298616374222,"[2.26550671 2.30923649 2.42762138 2.4050104  2.2622216  2.02224266
 1.723521   1.34141922 0.91396448]"
10,1.2,1,10,3,-13.157720419876368,<block2.cpx.sany.MultiMPS object at 0x0000024F17821DF0>,-12.98113326210523,"[2.2722493  2.32129636 2.43929294 2.42029279 2.27594212 2.03340642
 1.73354618 1.34937313 0.91772019]"
10,1.3,1,10,3,-14.435763929020723,<block2.cpx.sany.MultiMPS object at 0x0000024F50EA3F70>,-14.270792366021617,"[2.2763224  2.33285507 2.44888574 2.43291818 2.28670777 2.04190101
 1.74093347 1.35512015 0.91992274]"
10,1.4,1,10,3,-15.717654226554949,<block2.cpx.sany.MultiMPS object at 0x0000024F4FA7DBF0>,-15.56344139019524,"[2.27632353 2.34438391 2.45233787 2.43547783 2.28567378 2.03834902
 1.73736213 1.35316649 0.92258721]"
10,1.5,1,10,3,-17.002902128532227,<block2.cpx.sany.MultiMPS object at 0x0000024F178050F0>,-16.85891082324681,"[2.27883146 2.35416241 2.46335312 2.45178771 2.30245545 2.05380781
 1.75071734 1.36315117 0.92120302]"
10,1.6,1,10,3,-18.2910202095742,<block2.cpx.sany.MultiMPS object at 0x0000024F50E58B70>,-18.155963774784748,"[2.27534265 2.36461502 2.4637053  2.45025911 2.29771595 2.04652051
 1.74455382 1.36063367 0.92169629]"
10,1.7,1,10,3,-19.58154856846013,<block2.cpx.sany.MultiMPS object at 0x0000024F4FBE5570>,-19.455122365384717,"[2.28123391 2.37022822 2.48040419 2.48037826 2.33166529 2.08017552
 1.77381926 1.37933592 0.91390845]"
10,1.8,1,10,3,-20.87433464956288,<block2.cpx.sany.MultiMPS object at 0x0000024F17812CF0>,-20.75651173854764,"[2.28031407 2.37916999 2.48679853 2.49036406 2.34083269 2.08760243
 1.78033495 1.38375738 0.91009875]"
10,1.9,1,10,3,-22.16905062072472,<block2.cpx.sany.MultiMPS object at 0x0000024F50CA31F0>,-22.05904526657701,"[2.27533118 2.38966179 2.48948583 2.49254485 2.34007857 2.08474905
 1.77734376 1.38315158 0.90861797]"
10,2.0,1,10,3,-23.46557051267127,<block2.cpx.sany.MultiMPS object at 0x0000024F50EA9CB0>,-23.36373178996942,"[2.27480574 2.3974731  2.496816   2.5058523  2.35363341 2.09717917
 1.78747416 1.38980114 0.90349067]"
10,0.1,1,10,3,-0.33279200797282166,<block2.cpx.sany.MultiMPS object at 0x000002A0783AA0F0>,0.2842038627810346,"[0.32833645 0.6824828  1.02750406 1.31226249 1.53121836 1.68275033
 1.73486176 1.64981079 1.46307598]"
