L,t,U,N_bosons,N_max,GndEigenval,FirstExcitedEigenval,Entropy
10,0.0,1,10,3,1.3884889645663116e-11,1.0000000000014648,"[-8.88178420e-16 -8.88178420e-16 -8.88178420e-16 -8.88178420e-16
 -8.88178420e-16 -8.88139235e-16  2.63409891e-10  1.22678750e-10
  8.13411184e-11]"
10,0.1,1,10,3,-0.3294906918415616,0.3005328337130305,"[0.16851603 0.15748173 0.1582688  0.15822128 0.1582238  0.15822124
 0.15826874 0.15748174 0.16851585]"
10,0.2,1,10,3,-1.1039494280477704,-0.6163309471259553,"[0.37189771 0.31020562 0.32222704 0.32024805 0.32059201 0.32024804
 0.32222706 0.31020564 0.37189769]"
10,0.3,1,10,3,-2.074073318284783,-1.647533809031676,"[0.51610171 0.39004134 0.42805551 0.41853979 0.42137338 0.41853979
 0.42805553 0.39004133 0.51610172]"
10,0.4,1,10,3,-3.1344339670529022,-2.7424445350891884,"[0.6171614  0.43080281 0.50264866 0.48006782 0.48924823 0.48006789
 0.5026487  0.4308028  0.61716134]"
10,0.5,1,10,3,-4.243304991635865,-3.876176070483904,"[0.69123112 0.45234433 0.56031337 0.52108191 0.54062321 0.52108192
 0.56031328 0.452344   0.69123137]"
10,0.6,1,10,3,-5.381781264974748,-5.035281222046874,"[0.74777079 0.46401362 0.60749049 0.54968434 0.58289461 0.54968396
 0.60749095 0.46401343 0.74777099]"
10,0.7,1,10,3,-6.540112267954192,-6.212030926657601,"[0.79223514 0.47058369 0.64743632 0.57022927 0.61951082 0.57022698
 0.64743892 0.47058356 0.79223475]"
10,0.8,1,10,3,-7.712735819148854,-7.401700594913416,"[0.82791336 0.47487489 0.68203636 0.58527809 0.6521875  0.58527815
 0.68203774 0.47487551 0.82791282]"
10,0.9,1,10,3,-8.896223619390664,-8.601344310331228,"[0.85689051 0.47894416 0.71248171 0.59647893 0.68184014 0.59648009
 0.71248243 0.47894471 0.85689043]"
10,1.0,1,10,3,-10.088329660398871,-9.80896268103283,"[0.88055043 0.48453062 0.73957513 0.60495647 0.70898397 0.6049646
 0.73957857 0.48453488 0.88054901]"
10,1.1,1,10,3,-11.287510385014714,-11.023024928279504,"[0.89985399 0.49262006 0.763891   0.61154773 0.73396058 0.6115599
 0.76389481 0.49262129 0.89985269]"
10,1.2,1,10,3,-12.49265645388794,-12.242363578902427,"[0.91549628 0.50376403 0.78583541 0.61689243 0.75699432 0.61691491
 0.78583608 0.50377195 0.91549168]"
10,1.3,1,10,3,-13.702945505872815,-13.466205265231784,"[0.92800279 0.51839979 0.80570878 0.62148526 0.77826279 0.62151302
 0.80571116 0.51841421 0.9279975 ]"
10,1.4,1,10,3,-14.917747020395309,-14.69389266159081,"[0.93778815 0.53688596 0.82372986 0.62572571 0.79793056 0.62575497
 0.82374161 0.53689882 0.93778387]"
10,1.5,1,10,3,-16.13656456972105,-15.924927077314214,"[0.94519226 0.55948923 0.84005759 0.62991497 0.81612693 0.62995392
 0.84006844 0.55950055 0.94518998]"
10,1.6,1,10,3,-17.358997866929425,-17.158925787311283,"[0.9505019  0.58637271 0.85480632 0.63428841 0.83299837 0.63432704
 0.85481894 0.58638616 0.95049812]"
10,1.7,1,10,3,-18.584712106162176,-18.3955408766788,"[0.95396506 0.61753207 0.86804892 0.63899971 0.84868278 0.63904051
 0.8680614  0.61754533 0.95396115]"
10,1.8,1,10,3,-19.813447323669955,-19.63454722508807,"[0.95579526 0.65276042 0.87983004 0.64414087 0.86330506 0.64417365
 0.87984588 0.65277762 0.95579138]"
10,1.9,1,10,3,-21.044952953339624,-20.8756615106638,"[0.95617482 0.69167145 0.89017658 0.64975595 0.87699648 0.6497868
 0.89020924 0.69170089 0.95616692]"
10,2.0,1,10,3,-22.279023777353697,-22.11869224012916,"[0.95525712 0.73374964 0.89911853 0.65585851 0.88989133 0.65589169
 0.89915428 0.73377862 0.9552482 ]"
