L,t,U,N_bosons,N_max,GndEigenval,FirstExcitedEigenval,Entropy
10,0.0,1,10,3,2.882831026755819e-11,1.0000000000000264,"[-8.88178420e-16 -8.88178420e-16 -8.88178420e-16 -8.88178420e-16
 -8.88178420e-16 -8.88139235e-16  2.63409891e-10  1.22678750e-10
  8.13411184e-11]"
10,0.1,1,10,3,-0.3413183846286443,0.2443396714744542,"[0.17857601 0.17786064 0.17802233 0.17803853 0.17804006 0.17803854
 0.17802233 0.17786062 0.17857604]"
10,0.2,1,10,3,-1.2067275376537632,-0.8272875936038792,"[0.42348185 0.42134899 0.4241762  0.42499625 0.42517532 0.42499628
 0.42417606 0.42134917 0.42348199]"
10,0.3,1,10,3,-2.3530263889161507,-2.0689985166485183,"[0.60806086 0.61157758 0.62022061 0.62380875 0.62476774 0.62380631
 0.62021883 0.61157837 0.60806071]"
10,0.4,1,10,3,-3.6382797999914778,-3.3989077755275128,"[0.73088172 0.74911572 0.76372907 0.77052002 0.77238379 0.77051202
 0.76372322 0.74911805 0.73088185]"
10,0.5,1,10,3,-4.99656975505934,-4.778194201146666,"[0.80843559 0.84661839 0.86600725 0.87535956 0.87785988 0.87533975
 0.86599286 0.84662638 0.80843856]"
10,0.6,1,10,3,-6.39701345376141,-6.187760384107437,"[0.85569829 0.9156844  0.93878591 0.95011381 0.95302488 0.95007452
 0.93876178 0.91570018 0.85570551]"
10,0.7,1,10,3,-7.823968981304582,-7.617335797647379,"[0.8835568  0.96538872 0.99153375 1.00446077 1.00765611 1.00439732
 0.99149903 0.9654174  0.88356891]"
10,0.8,1,10,3,-9.268777774848324,-9.060905327152229,"[0.89916962 1.00202838 1.0308137  1.04509017 1.04850441 1.04500232
 1.03077034 1.00207226 0.89918811]"
10,0.9,1,10,3,-10.72625230503507,-10.514691745140295,"[0.90706198 1.02973657 1.06090839 1.07634713 1.07994087 1.07623446
 1.06085794 1.02979705 0.9070882 ]"
10,1.0,1,10,3,-12.193077511466,-11.976189087093234,"[0.91010825 1.0512873  1.0845288  1.10088753 1.10479142 1.10105106
 1.0845839  1.05118508 0.91006819]"
10,1.1,1,10,3,-13.66702361831191,-13.443661181225446,"[0.9099985  1.06819924 1.10365391 1.12099899 1.12487853 1.12082529
 1.1036099  1.06831703 0.910043  ]"
10,1.2,1,10,3,-15.146528863426877,-14.91586283550629,"[0.90798692 1.08193733 1.11934002 1.13745002 1.14145049 1.13725668
 1.11929881 1.08207602 0.90803964]"
10,1.3,1,10,3,-16.630462765917898,-16.391875330408354,"[0.9048377  1.09338702 1.13243021 1.15103081 1.1553809  1.1512769
 1.13246968 1.09319787 0.9047758 ]"
10,1.4,1,10,3,-18.11798533930028,-17.871005014751656,"[0.9009216  1.1028302  1.1435978  1.16275348 1.1672184  1.16301899
 1.14363286 1.1026208  0.90085325]"
10,1.5,1,10,3,-19.6084579904241,-19.352717633357244,"[0.89660782 1.11081978 1.15321938 1.17285624 1.17742315 1.17313781
 1.15324897 1.11059134 0.8965326 ]"
10,1.6,1,10,3,-21.10138620155763,-20.83659477585398,"[0.89210325 1.11766057 1.16160511 1.18165379 1.18630309 1.18194451
 1.16162201 1.11741059 0.89202888]"
10,1.7,1,10,3,-22.59638070031011,-22.322303971919425,"[0.88754737 1.1235791  1.16898668 1.18939374 1.19412405 1.1896978
 1.16899762 1.12331332 0.88746811]"
10,1.8,1,10,3,-24.09313078401424,-23.8095773037598,"[0.88302894 1.12874792 1.17553994 1.19625616 1.201059   1.1965726
 1.17554495 1.12846681 0.88294411]"
10,1.9,1,10,3,-25.59138518817548,-25.29819720175481,"[0.87860411 1.13329419 1.18138555 1.20234677 1.20724078 1.20271132
 1.18139812 1.13299898 0.87851883]"
10,2.0,1,10,3,-27.09093864056233,-26.78798402900497,"[0.87430986 1.13733154 1.18666652 1.20785653 1.21281072 1.20823386
 1.18667375 1.13702319 0.87422031]"
