L,t,U,N_bosons,N_max,GndEigenval,FirstExcitedEigenval,Entropy
10,0.0,1,10,3,1.3884889645663116e-11,1.0000000000014648,"[-8.88178420e-16 -8.88178420e-16 -8.88178420e-16 -8.88178420e-16
 -8.88178420e-16 -8.88139235e-16  2.63409891e-10  1.22678750e-10
  8.13411184e-11]"
10,0.1,1,10,3,-0.3507540994574197,0.2049409307790685,"[0.18691786 0.19466528 0.19563579 0.19579677 0.19582095 0.1957968
 0.1956358  0.19466527 0.18691788]"
10,0.2,1,10,3,-1.3023950171811487,-0.9777301042262329,"[0.47541925 0.52623678 0.54347906 0.55076049 0.55282504 0.55076054
 0.54347922 0.52623678 0.47541925]"
10,0.3,1,10,3,-2.623418386640473,-2.3719017707961854,"[0.69536966 0.79057108 0.82822948 0.84676123 0.85244883 0.84676111
 0.82822945 0.79057131 0.69537   ]"
10,0.4,1,10,3,-4.116195485849216,-3.872954085802592,"[0.81312208 0.93344663 0.97706176 0.9988333  1.00558756 0.99883198
 0.9770602  0.9334466  0.81312278]"
10,0.5,1,10,3,-5.688742850330644,-5.432494795752491,"[0.86899415 1.00984426 1.05468861 1.07691153 1.08384399 1.07690799
 1.05468495 1.00984452 0.86899554]"
10,0.6,1,10,3,-7.304487847659254,-7.027328539164217,"[0.89440807 1.05595659 1.10136911 1.12349451 1.13043596 1.12348797
 1.10136255 1.05595729 0.89441019]"
10,0.7,1,10,3,-8.946652350262468,-8.645130187931148,"[0.9047188  1.08687513 1.13290027 1.15480181 1.16171632 1.15479114
 1.13288971 1.08687581 0.9047216 ]"
10,0.8,1,10,3,-10.606315333690338,-10.278734930555116,"[0.90731298 1.10922476 1.15596486 1.17759579 1.18447239 1.17758185
 1.15595116 1.10922512 0.90731651]"
10,0.9,1,10,3,-12.278225650789192,-11.92368227657313,"[0.9059014  1.12625636 1.17378185 1.19511793 1.20194958 1.19509938
 1.17376414 1.1262564  0.90590544]"
10,1.0,1,10,3,-13.959065501565403,-13.57704586045906,"[0.90242666 1.13973649 1.18808248 1.20911069 1.21589478 1.20908843
 1.18806117 1.13973626 0.9024313 ]"
10,1.1,1,10,3,-15.64662621216316,-15.236824895700687,"[0.89793925 1.15070837 1.19988608 1.22060236 1.22733721 1.22057623
 1.19986096 1.15070757 0.89794442]"
10,1.2,1,10,3,-17.339376697400038,-16.90160488813421,"[0.89301927 1.1598315  1.20983493 1.23024225 1.23692728 1.23021248
 1.20980723 1.15982967 0.89302487]"
10,1.3,1,10,3,-19.03622045196149,-18.570357655303976,"[0.88799005 1.16754522 1.21836158 1.23846624 1.24510236 1.23843254
 1.21833005 1.16754246 0.88799636]"
10,1.4,1,10,3,-20.736350803564186,-20.242318036494183,"[0.88303174 1.17415636 1.22576452 1.24557592 1.25216459 1.24553913
 1.22572995 1.17415286 0.88303839]"
10,1.5,1,10,3,-22.43916067686071,-21.916904984705507,"[0.87824142 1.17988665 1.23226229 1.25179212 1.258335   1.25175227
 1.23222471 1.17988245 0.87824837]"
10,1.6,1,10,3,-24.14418425035562,-23.59366942491696,"[0.87366823 1.18490082 1.23801743 1.25727878 1.263778   1.25723511
 1.23797625 1.18489589 0.87367576]"
10,1.7,1,10,3,-25.85105801451011,-25.272258883361182,"[0.86933399 1.18932466 1.24315428 1.2621598  1.26861748 1.26211341
 1.24311042 1.18931904 0.86934175]"
10,1.8,1,10,3,-27.55949407326468,-26.952392869353453,"[0.86524355 1.19325569 1.24777061 1.26653354 1.27295188 1.26648443
 1.24772405 1.19324949 0.86525158]"
10,1.9,1,10,3,-29.26926141793076,-28.63384545301294,"[0.86139232 1.1967707  1.2519431  1.2704763  1.27685741 1.27042441
 1.25189391 1.19676384 0.86140059]"
10,2.0,1,10,3,-30.980172511354283,-30.31643262330825,"[0.8577707  1.19993059 1.25573581 1.27404865 1.28039509 1.27399485
 1.25568227 1.199924   0.85777909]"
